0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:24 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:25 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 3146
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:25 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:25 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:27 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:27 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:27 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:36 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:39 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:40 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:53:33 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 3792
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:53:33 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 3792
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:53:43 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:57:04 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:57:04 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:57:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:57:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:57:12 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:57:12 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:57:13 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:57:14 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:09 -0200] "GET /sMonitor/?txtdesc=SWITCH+B-05+CISCO+%28117%29&txtprotocol=TCP%2FIP&txtIpHost=172.17.76.117&txtPorta=0 HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:09 -0200] "POST /sMonitor/CadastraDispositivo HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:09 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:15 -0200] "GET /sMonitor HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:15 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:18 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:18 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 2713
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:21 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:21 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:25 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:25 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:26 -0200] "GET /sMonitor/?search=swi HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:26 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:27 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:27 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:29 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:29 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:31 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:31 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:32 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:32 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:33 -0200] "GET /sMonitor/?search=swi HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:34 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:35 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:59:35 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 120
10.1.78.157 - - [15/Feb/2019:11:02:42 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:02:43 -0200] "GET /sMonitor/resources/dispositivo/cadastrarDispositivo.html HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:02:43 -0200] "GET /sMonitor/resources/dispositivo/js/dispositivo.js HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:02:43 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:03:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:03:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:05:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:05:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:07:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:07:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:09:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:09:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:11:10:55 -0200] "GET /sMonitor/?search=swi HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2019:11:10:55 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:11:11:06 -0200] "GET /sMonitor HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2019:11:11:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:11:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:11:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [15/Feb/2019:11:13:06 -0200] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [15/Feb/2019:11:13:06 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
